S.No,question
342,[Situational] How do you behave if someone is rude to you?
343,[Situational] What if someone blames you wrongly?
344,[Situational] What will you do if your phone stops working?
345,[Situational] How do you behave if someone is rude to you?
346,[Situational] What will you do if you miss a train?
347,[Situational] What will you do if your phone stops working?
348,[Situational] What if someone blames you wrongly?
349,[Situational] What will you do if you lose your wallet?
350,[Situational] What will you do if you miss a train?
351,[Situational] What will you do if you win a prize?
352,[Situational] How do you behave if someone is rude to you?
353,[Situational] What will you do if your friend is upset?
354,[Situational] What if your teacher gives you extra homework?
355,[Situational] What if someone blames you wrongly?
356,[Situational] What if someone blames you wrongly?
357,[Situational] How do you behave if someone is rude to you?
358,[Situational] What if someone blames you wrongly?
359,[Situational] What will you do if you lose your wallet?
360,[Situational] What will you do if you win a prize?
361,[Situational] What if your teacher gives you extra homework?
362,[Situational] How will you handle a disagreement in a team?
363,[Situational] What will you do if you are late for an interview?
364,[Situational] What will you do if your friend is upset?
365,[Situational] What will you do if you are late for an interview?
366,[Situational] What will you do if your friend is upset?
367,[Situational] What will you do if your friend is upset?
368,[Situational] How do you behave if someone is rude to you?
369,[Situational] How do you behave if someone is rude to you?
370,[Situational] What if your teacher gives you extra homework?
371,[Situational] How will you handle a disagreement in a team?
372,[Situational] What if someone blames you wrongly?
373,[Situational] How do you behave if someone is rude to you?
374,[Situational] What will you do if you are late for an interview?
375,[Situational] How will you handle a disagreement in a team?
376,[Situational] What if someone blames you wrongly?
377,[Situational] What if someone blames you wrongly?
378,[Situational] What if someone blames you wrongly?
379,[Situational] How do you behave if someone is rude to you?
380,[Situational] What will you do if your phone stops working?
381,[Situational] What will you do if you lose your wallet?
382,[Situational] How do you behave if someone is rude to you?
383,[Situational] What if your teacher gives you extra homework?
384,[Situational] What will you do if your friend is upset?
385,[Situational] What if someone blames you wrongly?
386,[Situational] How will you handle a disagreement in a team?
387,[Situational] What will you do if you are late for an interview?
388,[Situational] How do you behave if someone is rude to you?
389,[Situational] What will you do if your phone stops working?
390,[Situational] What will you do if your phone stops working?
391,[Situational] What will you do if you are late for an interview?
392,[Situational] What will you do if your phone stops working?
393,[Situational] What will you do if your friend is upset?
394,[Situational] What will you do if you are late for an interview?
395,[Situational] What will you do if you win a prize?
396,[Situational] What will you do if your friend is upset?
397,[Situational] What if someone blames you wrongly?
398,[Situational] What if your teacher gives you extra homework?
399,[Situational] What will you do if your friend is upset?
400,[Situational] What will you do if you miss a train?
401,[Future Plans] What kind of house would you like to live in?
402,[Future Plans] What is your dream job?
403,[Future Plans] Do you plan to travel abroad?
404,[Future Plans] Do you plan to travel abroad?
405,[Future Plans] What are your short-term goals?
406,[Future Plans] What kind of house would you like to live in?
407,[Future Plans] What are your short-term goals?
408,[Future Plans] Do you plan to travel abroad?
409,[Future Plans] What do you want to achieve by next year?
410,[Future Plans] How do you plan your future?
411,[Future Plans] What do you want to achieve by next year?
412,[Future Plans] What kind of house would you like to live in?
413,[Future Plans] What do you want to achieve by next year?
414,[Future Plans] What are your long-term goals?
415,[Future Plans] What are your long-term goals?
416,[Future Plans] Do you plan to travel abroad?
417,[Future Plans] What kind of house would you like to live in?
418,[Future Plans] What kind of house would you like to live in?
419,[Future Plans] Where do you see yourself in 5 years?
420,[Future Plans] What are your long-term goals?
421,[Future Plans] Do you want to study more in the future?
422,[Future Plans] Where do you see yourself in 5 years?
423,[Future Plans] How do you plan your future?
424,[Future Plans] What are your long-term goals?
425,"[Future Plans] If you had unlimited time, what would you do?"
426,"[Future Plans] If you had unlimited time, what would you do?"
427,[Future Plans] Do you want to study more in the future?
428,[Future Plans] What are your short-term goals?
429,[Future Plans] Do you want to study more in the future?
430,[Future Plans] What are your long-term goals?
431,[Future Plans] What is your dream job?
432,"[Future Plans] If you had unlimited time, what would you do?"
433,"[Future Plans] If you had unlimited time, what would you do?"
434,[Future Plans] What kind of house would you like to live in?
435,"[Future Plans] If you had unlimited time, what would you do?"
436,[Future Plans] What are your short-term goals?
437,[Future Plans] Do you plan to travel abroad?
438,[Future Plans] Where do you see yourself in 5 years?
439,[Future Plans] What are your long-term goals?
440,"[Future Plans] If you had unlimited time, what would you do?"
441,[Future Plans] What are your short-term goals?
442,[Future Plans] What do you want to achieve by next year?
443,[Future Plans] Where do you see yourself in 5 years?
444,[Future Plans] Do you want to study more in the future?
445,[Future Plans] How do you plan your future?
446,"[Future Plans] If you had unlimited time, what would you do?"
447,[Future Plans] What are your long-term goals?
448,[Future Plans] What do you want to achieve by next year?
449,[Future Plans] What kind of house would you like to live in?
450,[Future Plans] What is your dream job?
451,[Future Plans] How do you plan your future?
452,[Future Plans] What are your short-term goals?
453,[Future Plans] How do you plan your future?
454,"[Future Plans] If you had unlimited time, what would you do?"
455,[Future Plans] What are your short-term goals?
456,[Future Plans] What are your short-term goals?
457,"[Future Plans] If you had unlimited time, what would you do?"
458,"[Future Plans] If you had unlimited time, what would you do?"
459,[Future Plans] What kind of house would you like to live in?
460,[Future Plans] What is your dream job?
461,[Future Plans] What kind of house would you like to live in?
462,[Future Plans] Do you plan to travel abroad?
463,[Future Plans] What are your long-term goals?
464,[Future Plans] What are your short-term goals?
465,[Future Plans] Where do you see yourself in 5 years?
466,[Future Plans] Do you want to study more in the future?
467,[Future Plans] Where do you see yourself in 5 years?
468,[Future Plans] How do you plan your future?
469,[Future Plans] Do you want to study more in the future?
470,[Future Plans] How do you plan your future?
471,[Future Plans] Do you plan to travel abroad?
472,[Future Plans] What are your short-term goals?
473,[Future Plans] What do you want to achieve by next year?
474,[Future Plans] What are your short-term goals?
475,[Future Plans] Do you want to study more in the future?
476,[Future Plans] What do you want to achieve by next year?
477,[Future Plans] What are your long-term goals?
478,[Future Plans] What do you want to achieve by next year?
479,[Future Plans] What do you want to achieve by next year?
480,[Future Plans] Do you plan to travel abroad?
481,[Future Plans] What kind of house would you like to live in?
482,[Future Plans] What kind of house would you like to live in?
483,[Future Plans] What kind of house would you like to live in?
484,[Future Plans] How do you plan your future?
485,"[Future Plans] If you had unlimited time, what would you do?"
486,[Future Plans] What are your long-term goals?
487,[Future Plans] What are your long-term goals?
488,[Future Plans] How do you plan your future?
489,"[Future Plans] If you had unlimited time, what would you do?"
490,[Future Plans] What is your dream job?
491,[Future Plans] How do you plan your future?
492,[Future Plans] What do you want to achieve by next year?
493,[Future Plans] How do you plan your future?
494,[Future Plans] Where do you see yourself in 5 years?
495,[Future Plans] Where do you see yourself in 5 years?
496,[Future Plans] What are your short-term goals?
497,[Future Plans] What are your short-term goals?
498,[Future Plans] What kind of house would you like to live in?
499,[Future Plans] What are your long-term goals?
500,[Future Plans] What do you want to achieve by next year?
501,"[Fun & Imagination] If you could fly, where would you go?"
502,"[Fun & Imagination] If you had a superpower, what would it be?"
503,"[Fun & Imagination] If you could travel to space, would you go?"
504,"[Fun & Imagination] If you could fly, where would you go?"
505,"[Fun & Imagination] If you could meet a celebrity, who would it be?"
506,"[Fun & Imagination] If you could travel to space, would you go?"
507,"[Fun & Imagination] If you could fly, where would you go?"
508,"[Fun & Imagination] If you had a superpower, what would it be?"
509,"[Fun & Imagination] If you could travel to space, would you go?"
510,"[Fun & Imagination] If you were the prime minister, what would you do?"
511,"[Fun & Imagination] If you could travel to space, would you go?"
512,[Fun & Imagination] What funny nickname do your friends call you?
513,"[Fun & Imagination] If animals could talk, which one would you talk to?"
514,"[Fun & Imagination] If you were the prime minister, what would you do?"
515,[Fun & Imagination] What would you do with a million rupees?
516,"[Fun & Imagination] If you could travel to space, would you go?"
517,"[Fun & Imagination] If you could travel to space, would you go?"
518,"[Fun & Imagination] If you could fly, where would you go?"
519,"[Fun & Imagination] If you could travel to space, would you go?"
520,"[Fun & Imagination] If you were the prime minister, what would you do?"
521,[Fun & Imagination] What would you do with a million rupees?
522,[Fun & Imagination] What funny nickname do your friends call you?
523,"[Fun & Imagination] If you were the prime minister, what would you do?"
524,"[Fun & Imagination] If you wrote a book, what would it be about?"
525,[Fun & Imagination] What funny nickname do your friends call you?
526,[Fun & Imagination] What funny nickname do your friends call you?
527,[Fun & Imagination] What cartoon character do you like the most?
528,"[Fun & Imagination] If animals could talk, which one would you talk to?"
529,"[Fun & Imagination] If you wrote a book, what would it be about?"
530,"[Fun & Imagination] If you had a superpower, what would it be?"
531,"[Fun & Imagination] If you could travel to space, would you go?"
532,"[Fun & Imagination] If you could meet a celebrity, who would it be?"
533,"[Fun & Imagination] If you could fly, where would you go?"
534,"[Fun & Imagination] If animals could talk, which one would you talk to?"
535,"[Fun & Imagination] If you could travel to space, would you go?"
536,"[Fun & Imagination] If you had a superpower, what would it be?"
537,"[Fun & Imagination] If you could travel to space, would you go?"
538,[Fun & Imagination] What cartoon character do you like the most?
539,[Fun & Imagination] What would you do with a million rupees?
540,"[Fun & Imagination] If you could fly, where would you go?"
541,"[Fun & Imagination] If you could meet a celebrity, who would it be?"
542,"[Fun & Imagination] If you had a superpower, what would it be?"
543,"[Fun & Imagination] If you could meet a celebrity, who would it be?"
544,"[Fun & Imagination] If you were the prime minister, what would you do?"
545,"[Fun & Imagination] If you could fly, where would you go?"
546,[Fun & Imagination] What would you do with a million rupees?
547,"[Fun & Imagination] If you wrote a book, what would it be about?"
548,[Fun & Imagination] What cartoon character do you like the most?
549,"[Fun & Imagination] If you could fly, where would you go?"
550,[Fun & Imagination] What cartoon character do you like the most?
551,[Fun & Imagination] What funny nickname do your friends call you?
552,"[Fun & Imagination] If you wrote a book, what would it be about?"
553,"[Fun & Imagination] If you could travel to space, would you go?"
554,[Fun & Imagination] What funny nickname do your friends call you?
555,[Fun & Imagination] What funny nickname do your friends call you?
556,"[Fun & Imagination] If animals could talk, which one would you talk to?"
557,"[Fun & Imagination] If you could travel to space, would you go?"
558,"[Fun & Imagination] If you could fly, where would you go?"
559,"[Fun & Imagination] If you could meet a celebrity, who would it be?"
560,"[Fun & Imagination] If you could travel to space, would you go?"
561,"[Fun & Imagination] If you could travel to space, would you go?"
562,"[Fun & Imagination] If you could travel to space, would you go?"
563,"[Fun & Imagination] If you could travel to space, would you go?"
564,"[Fun & Imagination] If you could meet a celebrity, who would it be?"
565,"[Fun & Imagination] If you wrote a book, what would it be about?"
566,[Fun & Imagination] What funny nickname do your friends call you?
567,"[Fun & Imagination] If you were the prime minister, what would you do?"
568,"[Fun & Imagination] If you were the prime minister, what would you do?"
569,[Fun & Imagination] What funny nickname do your friends call you?
570,"[Fun & Imagination] If you could meet a celebrity, who would it be?"
571,[Fun & Imagination] What cartoon character do you like the most?
572,[Fun & Imagination] What would you do with a million rupees?
573,"[Fun & Imagination] If you could travel to space, would you go?"
574,"[Fun & Imagination] If you had a superpower, what would it be?"
575,"[Fun & Imagination] If you could meet a celebrity, who would it be?"
576,"[Fun & Imagination] If animals could talk, which one would you talk to?"
577,[Fun & Imagination] What cartoon character do you like the most?
578,[Fun & Imagination] What funny nickname do your friends call you?
579,[Fun & Imagination] What cartoon character do you like the most?
580,"[Fun & Imagination] If you had a superpower, what would it be?"
581,"[Fun & Imagination] If you were the prime minister, what would you do?"
582,"[Fun & Imagination] If you could meet a celebrity, who would it be?"
583,"[Fun & Imagination] If animals could talk, which one would you talk to?"
584,"[Fun & Imagination] If you had a superpower, what would it be?"
585,[Fun & Imagination] What funny nickname do your friends call you?
586,"[Fun & Imagination] If you could travel to space, would you go?"
587,"[Fun & Imagination] If you wrote a book, what would it be about?"
588,[Fun & Imagination] What cartoon character do you like the most?
589,[Fun & Imagination] What cartoon character do you like the most?
590,"[Fun & Imagination] If you had a superpower, what would it be?"
591,"[Fun & Imagination] If you wrote a book, what would it be about?"
592,"[Fun & Imagination] If you had a superpower, what would it be?"
593,[Fun & Imagination] What would you do with a million rupees?
594,[Fun & Imagination] What funny nickname do your friends call you?
595,[Fun & Imagination] What cartoon character do you like the most?
596,"[Fun & Imagination] If you could travel to space, would you go?"
597,"[Fun & Imagination] If you could fly, where would you go?"
598,"[Fun & Imagination] If you could meet a celebrity, who would it be?"
599,"[Fun & Imagination] If you had a superpower, what would it be?"
600,"[Fun & Imagination] If you could fly, where would you go?"
